Order_ID,Date,Customer,Category,Product,Quantity,Price,Region,Revenue
11199,2025-08-03,Ali,Home,Office Chair,1,5990.77,Tanta,5990.77
10527,2025-11-10,Omar,Accessories,Webcam,1,1036.99,Giza,1036.99
10394,2025-11-12,Nada,Home,Coffee Maker,1,1981.75,Tanta,1981.75
11408,2025-04-29,Salma,Gaming,Gaming Mouse,3,1805.44,Cairo,5416.32
10434,2025-10-05,Aya,Electronics,Laptop,3,32730.72,Mansoura,98192.16
11721,2025-01-12,Khaled,Electronics,Tablet,3,21071.32,Cairo,63213.96
11091,2025-06-04,Youssef,Gaming,Gaming Headset,3,3518.51,Cairo,10555.53
10430,2025-01-30,Khaled,Electronics,Laptop,1,35498.84,Alexandria,35498.84
11800,2025-10-09,Nada,Electronics,Monitor,1,16215.28,Mansoura,16215.28
10531,2025-10-26,Mostafa,Gaming,Game Controller,1,4182.12,Tanta,4182.12
11728,2025-03-23,Laila,Gaming,Gaming Chair,1,8722.48,Cairo,8722.48
11454,2025-06-24,Laila,Accessories,USB Hub,1,273.53,Cairo,273.53
11294,2025-04-10,Mohamed,Home,Coffee Maker,1,4345.11,Alexandria,4345.11
11619,2025-08-19,Laila,Accessories,Mouse,4,1398.35,,5593.4
11023,2025-08-17,Adam,Gaming,Gaming Keyboard,2,3880.89,Tanta,7761.78
10679,2025-05-25,Youssef,Gaming,Gaming Keyboard,4,3610.63,Mansoura,14442.52
11129,2025-01-07,Aya,Accessories,Keyboard,2,403.45,Cairo,806.9
10125,2025-09-12,Nada,Electronics,Laptop,2,25509.49,Qalyubia,51018.98
11474,2025-05-19,Menna,Accessories,Keyboard,2,2156.47,Giza,4312.94
10463,2025-08-16,Adam,Home,Desk Fan,2,699.09,Giza,1398.18
11857,2025-01-16,Mostafa,Home,Desk Fan,1,1007.97,Alexandria,1007.97
11970,2025-07-16,Amr,Electronics,Laptop,1,29792.46,Ismailia,29792.46
11002,2025-05-11,Laila,Accessories,Mouse,2,818.79,Qalyubia,1637.58
11207,2025-02-12,Aya,Home,Air Purifier,1,9368.56,Alexandria,9368.56
11705,2025-11-13,Menna,Accessories,Phone Stand,4,253.84,Cairo,1015.36
11299,2025-06-27,Adam,Home,Desk Lamp,2,1163.68,Cairo,2327.36
11396,2025-03-26,Laila,Gaming,Gaming Chair,1,13387.15,Ismailia,13387.15
11840,2025-07-31,Salma,Electronics,Headphones,1,3161.52,Cairo,3161.52
10545,2025-09-09,,Home,Office Chair,2,2776.05,Giza,5552.1
11957,2025-10-02,Sara,Home,Office Chair,4,3929.1,Alexandria,15716.4
10974,2025-12-19,Laila,Electronics,Tablet,1,5970.99,Alexandria,5970.99
11710,2025-11-11,Adam,Home,Desk Fan,2,1623.87,Qalyubia,3247.74
10030,2025-06-26,Farah,Electronics,Laptop,1,18681.41,Mansoura,18681.41
10544,2025-02-08,Hana,Home,Desk Fan,2,1384.73,Giza,2769.46
11451,2025-03-02,Khaled,Accessories,Keyboard,2,785.95,Ismailia,1571.9
10810,2025-11-24,Menna,Electronics,Laptop,2,38432.47,Cairo,76864.94
10775,2025-07-30,Omar,Home,Desk Lamp,3,860.71,Giza,2582.13
10057,2025-11-01,Nour,Electronics,Headphones,1,3980.12,Cairo,3980.12
10520,2025-12-18,Ali,Electronics,Tablet,3,5419.63,Mansoura,16258.89
10585,2025-07-20,Nada,Home,Desk Lamp,1,1636.98,Ismailia,1636.98
10671,2025-07-28,Omar,Electronics,Tablet,2,21758.69,Giza,43517.38
10252,2025-03-23,Adam,Accessories,Webcam,1,1504.23,Alexandria,1504.23
10100,2025-11-03,Amr,Electronics,Smartphone,4,17484.47,Giza,69937.88
10568,2025-05-30,Khaled,Accessories,Phone Stand,2,602.98,Qalyubia,1205.96
10589,2025-09-26,Mohamed,Electronics,Headphones,2,2773.49,Tanta,5546.98
10299,2025-01-24,Sara,Home,Air Purifier,1,3185.31,Alexandria,3185.31
11556,2025-01-15,Nour,Electronics,Headphones,4,1990.12,Giza,7960.48
10423,2025-06-27,Farah,Electronics,Tablet,1,9190.84,Giza,9190.84
11780,2025-04-18,Ahmed,Gaming,Game Controller,2,4603.76,Qalyubia,9207.52
11525,2025-09-01,Mostafa,Accessories,Webcam,1,2587.01,Tanta,2587.01
11862,2025-06-07,Sara,Home,Office Chair,2,7442.13,Cairo,14884.26
11693,2025-11-01,Ahmed,Accessories,Mouse,2,947.87,Qalyubia,1895.74
11544,2025-06-07,Aya,Electronics,Laptop,1,32386.33,Qalyubia,32386.33
10496,2025-01-12,Youssef,Accessories,USB Hub,3,451.72,Alexandria,1355.16
